ChineseName,EnglishName,StateName,StateNameEn,CountryName,CountryNameEn
丽水,Lishui,浙江,Zhejiang,中国,China
合肥,Hefei,安徽,Anhui,中国,China
芜湖,Wuhu,安徽,Anhui,中国,China
蚌埠,Bengbu,安徽,Anhui,中国,China
淮南,Huainan,安徽,Anhui,中国,China
马鞍山,Ma'anshan,安徽,Anhui,中国,China
淮北,Huaibei,安徽,Anhui,中国,China
铜陵,Tongling,安徽,Anhui,中国,China
安庆,Anqing,安徽,Anhui,中国,China
黄山,Huangshan,安徽,Anhui,中国,China
滁州,Chuzhou,安徽,Anhui,中国,China
阜阳,Fuyang,安徽,Anhui,中国,China
宿州,Suzhou,安徽,Anhui,中国,China
巢湖,Chaohu,安徽,Anhui,中国,China
六安,Lu'an,安徽,Anhui,中国,China
亳州,Bozhou,安徽,Anhui,中国,China
池州,Chizhou,安徽,Anhui,中国,China
宣城,Xuancheng,安徽,Anhui,中国,China
福州,Fuzhou,福建,Fujian,中国,China
厦门,Xiamen,福建,Fujian,中国,China
莆田,Putian,福建,Fujian,中国,China
三明,Sanming,福建,Fujian,中国,China
泉州,Quanzhou,福建,Fujian,中国,China
漳州,Zhangzhou,福建,Fujian,中国,China
南平,Nanping,福建,Fujian,中国,China
龙岩,Longyan,福建,Fujian,中国,China
宁德,Ningde,福建,Fujian,中国,China
南昌,Nanchang,江西,Jiangxi,中国,China
景德镇,Jingdezhen,江西,Jiangxi,中国,China
萍乡,Pingxiang,江西,Jiangxi,中国,China
九江,Jiujiang,江西,Jiangxi,中国,China
新余,Xinyu,江西,Jiangxi,中国,China
鹰潭,Yingtan,江西,Jiangxi,中国,China
赣州,Ganzhou,江西,Jiangxi,中国,China
吉安,Ji'an,江西,Jiangxi,中国,China
宜春,Yichun,江西,Jiangxi,中国,China
抚州,Fuzhou,江西,Jiangxi,中国,China
上饶,Shangrao,江西,Jiangxi,中国,China
济南,Jinan,山东,Shandong,中国,China
青岛,Qingdao,山东,Shandong,中国,China
淄博,Zibo,山东,Shandong,中国,China
枣庄,Zaozhuang,山东,Shandong,中国,China
东营,Dongying,山东,Shandong,中国,China
烟台,Yantai,山东,Shandong,中国,China
潍坊,Weifang,山东,Shandong,中国,China
济宁,Jining,山东,Shandong,中国,China
泰安,Tai'an,山东,Shandong,中国,China
威海,Weihai,山东,Shandong,中国,China
日照,Rizhao,山东,Shandong,中国,China
莱芜,Laiwu,山东,Shandong,中国,China
临沂,Linyi,山东,Shandong,中国,China
德州,Dezhou,山东,Shandong,中国,China
聊城,Liaocheng,山东,Shandong,中国,China
滨州,Binzhou,山东,Shandong,中国,China
菏泽,Heze,山东,Shandong,中国,China
郑州,Zhengzhou,河南,Henan,中国,China
开封,Kaifeng,河南,Henan,中国,China
洛阳,Luoyang,河南,Henan,中国,China
平顶山,Pingdingshan,河南,Henan,中国,China
安阳,Anyang,河南,Henan,中国,China
鹤壁,Hebi,河南,Henan,中国,China
新乡,Xinxiang,河南,Henan,中国,China
焦作,Jiaozuo,河南,Henan,中国,China
濮阳,Puyang,河南,Henan,中国,China
许昌,Xuchang,河南,Henan,中国,China
漯河,Luohe,河南,Henan,中国,China
三门峡,Sanmenxia,河南,Henan,中国,China
南阳,Nanyang,河南,Henan,中国,China
商丘,Shangqiu,河南,Henan,中国,China
信阳,Xinyang,河南,Henan,中国,China
周口,Zhoukou,河南,Henan,中国,China
驻马店,Zhumadian,河南,Henan,中国,China
济源,Jiyuan,河南,Henan,中国,China
武汉,Wuhan,湖北,Hubei,中国,China
黄石,Huangshi,湖北,Hubei,中国,China
十堰,Shiyan,湖北,Hubei,中国,China
宜昌,Yichang,湖北,Hubei,中国,China
襄阳,Xiangfan,湖北,Hubei,中国,China
鄂州,Ezhou,湖北,Hubei,中国,China
荆门,Jingmen,湖北,Hubei,中国,China
孝感,Xiaogan,湖北,Hubei,中国,China
荆州,Jingzhou,湖北,Hubei,中国,China
黄冈,Huanggang,湖北,Hubei,中国,China
咸宁,Xianning,湖北,Hubei,中国,China
随州,Suizhou,湖北,Hubei,中国,China
恩施,Enshi Tujia-Miao Autonomous Prefecture,湖北,Hubei,中国,China
仙桃,Xiantao,湖北,Hubei,中国,China
潜江,Qianjiang,湖北,Hubei,中国,China
天门,Tianmen,湖北,Hubei,中国,China
神农架,Shennongjia,湖北,Hubei,中国,China
长沙,Changsha,湖南,Hunan,中国,China
株洲,Zhuzhou,湖南,Hunan,中国,China
湘潭,Xiangtan,湖南,Hunan,中国,China
衡阳,Hengyang,湖南,Hunan,中国,China
邵阳,Shaoyang,湖南,Hunan,中国,China
岳阳,Yueyang,湖南,Hunan,中国,China
常德,Changde,湖南,Hunan,中国,China
张家界,Zhangjiajie,湖南,Hunan,中国,China
益阳,Yiyang,湖南,Hunan,中国,China
郴州,Chenzhou,湖南,Hunan,中国,China
永州,Yongzhou,湖南,Hunan,中国,China
怀化,Huaihua,湖南,Hunan,中国,China
娄底,Loudi,湖南,Hunan,中国,China
湘西,Xiangxi Tujia-Miao Autonomous Prefecture,湖南,Hunan,中国,China
广州,Guangzhou,广东,Guangdong,中国,China
韶关,Shaoguan,广东,Guangdong,中国,China
深圳,Shenzhen,广东,Guangdong,中国,China
珠海,Zhuhai,广东,Guangdong,中国,China
汕头,Shantou,广东,Guangdong,中国,China
佛山,Foshan,广东,Guangdong,中国,China
江门,Jiangmen,广东,Guangdong,中国,China
湛江,Zhanjiang,广东,Guangdong,中国,China
茂名,Maoming,广东,Guangdong,中国,China
肇庆,Zhaoqing,广东,Guangdong,中国,China
惠州,Huizhou,广东,Guangdong,中国,China
梅州,Meizhou,广东,Guangdong,中国,China
汕尾,Shanwei,广东,Guangdong,中国,China
河源,Heyuan,广东,Guangdong,中国,China
阳江,Yangjiang,广东,Guangdong,中国,China
清远,Qingyuan,广东,Guangdong,中国,China
东莞,Dongguan,广东,Guangdong,中国,China
中山,Zhongshan,广东,Guangdong,中国,China
潮州,Chaozhou,广东,Guangdong,中国,China
揭阳,Jieyang,广东,Guangdong,中国,China
云浮,Yunfu,广东,Guangdong,中国,China
南宁,Nanning,广西,Guangxi,中国,China
柳州,Liuzhou,广西,Guangxi,中国,China
桂林,Guilin,广西,Guangxi,中国,China
梧州,Wuzhou,广西,Guangxi,中国,China
北海,Beihai,广西,Guangxi,中国,China
防城港,Fangchenggang,广西,Guangxi,中国,China
钦州,Qinzhou,广西,Guangxi,中国,China
贵港,Guigang,广西,Guangxi,中国,China
玉林,Yulin,广西,Guangxi,中国,China
百色,Baise,广西,Guangxi,中国,China
贺州,Hezhou,广西,Guangxi,中国,China
河池,Hechi,广西,Guangxi,中国,China
来宾,Laibin,广西,Guangxi,中国,China
崇左,Chongzuo,广西,Guangxi,中国,China
海口,Haikou,海南,Hainan,中国,China
三亚,Sanya,海南,Hainan,中国,China
五指山,Wuzhishan,海南,Hainan,中国,China
琼海,Qionghai,海南,Hainan,中国,China
儋州,Danzhou,海南,Hainan,中国,China
文昌,Wenchang,海南,Hainan,中国,China
万宁,Wanning,海南,Hainan,中国,China
东方,Dongfang,海南,Hainan,中国,China
定安,Ding'an,海南,Hainan,中国,China
屯昌,Tunchang,海南,Hainan,中国,China
澄迈,Cengmai,海南,Hainan,中国,China
临高,Lingao,海南,Hainan,中国,China
白沙,Baisha Li Autonomous County,海南,Hainan,中国,China
昌江,Jiang Li Autonomous County,海南,Hainan,中国,China
乐东,Ledong Li Autonomous County,海南,Hainan,中国,China
陵水,Lingshui Li Autonomous County,海南,Hainan,中国,China
保亭,Baoting Li-Miao Autonomous County,海南,Hainan,中国,China
琼中,Qiongzhong Li-Miao Autonomous County,海南,Hainan,中国,China
西沙,Xisha Qundao,海南,Hainan,中国,China
南沙,Nansha Qundao,海南,Hainan,中国,China
中沙,Zhongsha Qundao,海南,Hainan,中国,China
万州,Wanzhou,重庆,Chongqing,中国,China
涪陵,Fuling,重庆,Chongqing,中国,China
渝中,Yuzhong,重庆,Chongqing,中国,China
大渡口,Dadukou,重庆,Chongqing,中国,China
江北,Jiangbei,重庆,Chongqing,中国,China
沙坪坝,Shapingba,重庆,Chongqing,中国,China
九龙坡,Jiulongpo,重庆,Chongqing,中国,China
南岸,Nan'an,重庆,Chongqing,中国,China
北碚,Beibei,重庆,Chongqing,中国,China
万盛,Wansheng,重庆,Chongqing,中国,China
双桥,Shuangqiao,重庆,Chongqing,中国,China
渝北,Yubei,重庆,Chongqing,中国,China
巴南,Ba'nan,重庆,Chongqing,中国,China
长寿,Changshou,重庆,Chongqing,中国,China
綦江,Qijiang,重庆,Chongqing,中国,China
潼南,Tongnan,重庆,Chongqing,中国,China
铜梁,Tongliang,重庆,Chongqing,中国,China
大足,Dazu,重庆,Chongqing,中国,China
荣昌,Rongchang,重庆,Chongqing,中国,China
璧山,Bishan,重庆,Chongqing,中国,China
梁平,Liangping,重庆,Chongqing,中国,China
城口,Chengkou,重庆,Chongqing,中国,China
丰都,Fengdu,重庆,Chongqing,中国,China
垫江,Dianjiang,重庆,Chongqing,中国,China
武隆,Wulong,重庆,Chongqing,中国,China
忠县,Zhongxian,重庆,Chongqing,中国,China
开县,Kaixian,重庆,Chongqing,中国,China
云阳,Yunyang,重庆,Chongqing,中国,China
奉节,Fengjie,重庆,Chongqing,中国,China
巫山,Wushan,重庆,Chongqing,中国,China
巫溪,Wuxi,重庆,Chongqing,中国,China
黔江,Qianjiang,重庆,Chongqing,中国,China
石柱,Shizhu Tujia Autonomous Country,重庆,Chongqing,中国,China
秀山,Xiushan Tujia-Miao Autonomous Country,重庆,Chongqing,中国,China
酉阳,Youyang Tujia-Miao Autonomous Country,重庆,Chongqing,中国,China
彭水,Pengshui Miao-Tujia Autonomous Country,重庆,Chongqing,中国,China
江津,Jiangjin,重庆,Chongqing,中国,China
合川,Hechuan,重庆,Chongqing,中国,China
永川,Yongchuan,重庆,Chongqing,中国,China
南川,Nanchuan,重庆,Chongqing,中国,China
成都,Chengdu,四川,Sichuan,中国,China
自贡,Zigong,四川,Sichuan,中国,China
攀枝花,Panzhihua,四川,Sichuan,中国,China
泸州,Luzhou,四川,Sichuan,中国,China
德阳,Deyang,四川,Sichuan,中国,China
绵阳,Mianyang,四川,Sichuan,中国,China
广元,Guangyuan,四川,Sichuan,中国,China
遂宁,Suining,四川,Sichuan,中国,China
内江,Neijiang,四川,Sichuan,中国,China
乐山,Leshan,四川,Sichuan,中国,China
南充,Nancong,四川,Sichuan,中国,China
眉山,Meishan,四川,Sichuan,中国,China
宜宾,Yibin,四川,Sichuan,中国,China
广安,Guang'an,四川,Sichuan,中国,China
达州,Dazhou,四川,Sichuan,中国,China
雅安,Ya'an,四川,Sichuan,中国,China
巴中,Bazhong,四川,Sichuan,中国,China
资阳,Ziyang,四川,Sichuan,中国,China
阿坝,Aba Tibetan-Qiang Autonomous Prefecture,四川,Sichuan,中国,China
甘孜,Garze Tibetan Autonomous Prefecture,四川,Sichuan,中国,China
凉山,Liangshan Yi Autonomous Prefecture,四川,Sichuan,中国,China
贵阳,Guiyang,贵州,Guizhou,中国,China
六盘水,Liupanshui,贵州,Guizhou,中国,China
遵义,Zunyi,贵州,Guizhou,中国,China
安顺,Anshun,贵州,Guizhou,中国,China
铜仁,Tongren,贵州,Guizhou,中国,China
黔西南,Qianxinan Buyi-Miao Autonomous Prefecture,贵州,Guizhou,中国,China
毕节,Bijie,贵州,Guizhou,中国,China
黔东南,Qiandongnan Miao-Dong Autonomous Prefecture,贵州,Guizhou,中国,China
黔南,Qiannan Buyi Autonomous Prefecture,贵州,Guizhou,中国,China
昆明,Kunming,云南,Yunnan,中国,China
曲靖,Qujing,云南,Yunnan,中国,China
玉溪,Yuxi,云南,Yunnan,中国,China
保山,Baoshan,云南,Yunnan,中国,China
昭通,Zhaotong,云南,Yunnan,中国,China
丽江,Lijiang,云南,Yunnan,中国,China
普洱,Pu'er,云南,Yunnan,中国,China
临沧,Lincang,云南,Yunnan,中国,China
楚雄,Chuxiong Yi Autonomous Prefecture,云南,Yunnan,中国,China
红河,Honghe Hani-Yi Autonomous Prefecture,云南,Yunnan,中国,China
文山,Wenshan Zhuang-Miao Autonomous Prefecture,云南,Yunnan,中国,China
西双版纳,Xishuangbanna Dai Autonomous Prefecture,云南,Yunnan,中国,China
大理,Dali Bai Autonomous Prefecture,云南,Yunnan,中国,China
德宏,Dehong Dai-Jingpo Autonomous Prefecture,云南,Yunnan,中国,China
怒江,Nujiang Lisu Autonomous Prefecture,云南,Yunnan,中国,China
迪庆,Diqing Tibetan Autonomous Prefecture,云南,Yunnan,中国,China
拉萨,Lhasa,西藏,Tibet,中国,China
昌都,Qamdo,西藏,Tibet,中国,China
山南,Shannan,西藏,Tibet,中国,China
日喀则,Xigaze,西藏,Tibet,中国,China
那曲,Nagqu,西藏,Tibet,中国,China
阿里,Ngari,西藏,Tibet,中国,China
林芝,Nyingchi,西藏,Tibet,中国,China
西安,Xi'an,陕西,Shaanxi,中国,China
铜川,Tongchuan,陕西,Shaanxi,中国,China
宝鸡,Baoji,陕西,Shaanxi,中国,China
咸阳,Xianyang,陕西,Shaanxi,中国,China
渭南,Weinan,陕西,Shaanxi,中国,China
延安,Yan'an,陕西,Shaanxi,中国,China
汉中,Hanzhong,陕西,Shaanxi,中国,China
榆林,Yulin,陕西,Shaanxi,中国,China
安康,Ankang,陕西,Shaanxi,中国,China
商洛,Shangluo,陕西,Shaanxi,中国,China
兰州市,Lanzhou,甘肃,Gansu,中国,China
嘉峪关,Jinchang,甘肃,Gansu,中国,China
金昌,Baiyin,甘肃,Gansu,中国,China
白银,Tianshui,甘肃,Gansu,中国,China
天水,Jiayuguan,甘肃,Gansu,中国,China
武威,Wuwei,甘肃,Gansu,中国,China
张掖,Zhangye,甘肃,Gansu,中国,China
平凉,Pingliang,甘肃,Gansu,中国,China
酒泉,Jiuquan,甘肃,Gansu,中国,China
庆阳,Qingyang,甘肃,Gansu,中国,China
定西,Dingxi,甘肃,Gansu,中国,China
陇南,Longnan,甘肃,Gansu,中国,China
临夏,Linxia Hui Autonomous Prefecture,甘肃,Gansu,中国,China
甘南,Gannan Tibetan Autonomous Prefecture,甘肃,Gansu,中国,China
西宁,Xining,青海,Qinghai,中国,China
海东,Haidong,青海,Qinghai,中国,China
海北,Haibei Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
黄南,Huangnan Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
海南,Hainan Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
果洛,Guoluo Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
玉树,Yushu Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
海西,Haixi Mongol-Tibetan Autonomous Prefecture,青海,Qinghai,中国,China
银川,Yinchuan,宁夏,Ningxia,中国,China
石嘴山,Shizuishan,宁夏,Ningxia,中国,China
吴忠,Wuzhong,宁夏,Ningxia,中国,China
固原,Guyuan,宁夏,Ningxia,中国,China
中卫,Zhongwei,宁夏,Ningxia,中国,China
乌鲁木齐,Urumqi,新疆,Xinjiang,中国,China
克拉玛依,Karamay,新疆,Xinjiang,中国,China
吐鲁番,Turpan,新疆,Xinjiang,中国,China
哈密,Hami,新疆,Xinjiang,中国,China
昌吉,Changji Hui Autonomous Prefecture,新疆,Xinjiang,中国,China
博尔塔拉,Bortala Mongol Autonomous Prefecture,新疆,Xinjiang,中国,China
巴音郭楞,Bayingolin Mongol Autonomous Prefecture,新疆,Xinjiang,中国,China
阿克苏,Aksu,新疆,Xinjiang,中国,China
克孜勒苏,Kizilsu Kirgiz Autonomous Prefecture,新疆,Xinjiang,中国,China
喀什,Kashi,新疆,Xinjiang,中国,China
和田,Hotan,新疆,Xinjiang,中国,China
伊犁,Ili Kazakh Autonomous Prefecture,新疆,Xinjiang,中国,China
塔城,Tacheng,新疆,Xinjiang,中国,China
阿勒泰,Altay,新疆,Xinjiang,中国,China
石河子,Shihezi,新疆,Xinjiang,中国,China
阿拉尔,Alar,新疆,Xinjiang,中国,China
图木舒克,Tumsuk,新疆,Xinjiang,中国,China
五家渠,Wujiaqu,新疆,Xinjiang,中国,China
台北市,Taipei City,台湾,Taiwan,中国,China
高雄市,Kaohsiung City,台湾,Taiwan,中国,China
基隆市,Keelung City,台湾,Taiwan,中国,China
台中市,Taichung City,台湾,Taiwan,中国,China
台南市,Tainan City,台湾,Taiwan,中国,China
新竹市,Hsinchu City,台湾,Taiwan,中国,China
嘉义市,Chiayi City,台湾,Taiwan,中国,China
台北县,Taipei County,台湾,Taiwan,中国,China
宜兰县,Ilan County,台湾,Taiwan,中国,China
桃园县,Taoyuan County,台湾,Taiwan,中国,China
新竹县,Hsinchu County,台湾,Taiwan,中国,China
苗栗县,Miaoli County,台湾,Taiwan,中国,China
台中县,Taichung County,台湾,Taiwan,中国,China
彰化县,Changhwa County,台湾,Taiwan,中国,China
南投县,Nantou County,台湾,Taiwan,中国,China
云林县,Yunnlin County,台湾,Taiwan,中国,China
嘉义县,Chiayi County,台湾,Taiwan,中国,China
台南县,Tainan County,台湾,Taiwan,中国,China
高雄县,Kaohsiung County,台湾,Taiwan,中国,China
屏东县,Pingtung County,台湾,Taiwan,中国,China
台东县,Taitung County,台湾,Taiwan,中国,China
花莲县,Hualian County,台湾,Taiwan,中国,China
澎湖县,Penghu County,台湾,Taiwan,中国,China
爱尔巴桑,Elbasan,None,None,阿尔巴尼亚,Albania
迪勃拉,Diber,None,None,阿尔巴尼亚,Albania
地拉那,Tirane,None,None,阿尔巴尼亚,Albania
都拉斯,Durres,None,None,阿尔巴尼亚,Albania
发罗拉,Vlore,None,None,阿尔巴尼亚,Albania
费里,Fier,None,None,阿尔巴尼亚,Albania
吉诺卡斯特,Gjirokaster,None,None,阿尔巴尼亚,Albania
科尔察,Korce,None,None,阿尔巴尼亚,Albania
库克斯,Kukes,None,None,阿尔巴尼亚,Albania
莱什,Lezhe,None,None,阿尔巴尼亚,Albania
培拉特,Berat,None,None,阿尔巴尼亚,Albania
斯库台,Shkoder,None,None,阿尔巴尼亚,Albania
阿德拉尔,Adrar,None,None,阿尔及利亚,Algeria
阿尔及尔,Alger,None,None,阿尔及利亚,Algeria
艾因·德夫拉,Ain Defla,None,None,阿尔及利亚,Algeria
艾因·蒂姆尚特,Ain Temouchent,None,None,阿尔及利亚,Algeria
安纳巴,Annaba,None,None,阿尔及利亚,Algeria
奥兰,Oran,None,None,阿尔及利亚,Algeria
巴特纳,Batna,None,None,阿尔及利亚,Algeria
贝贾亚,Bejaia,None,None,阿尔及利亚,Algeria
贝沙尔,Bechar,None,None,阿尔及利亚,Algeria
贝伊德,El Bayadh,None,None,阿尔及利亚,Algeria
比斯克拉,Biskra,None,None,阿尔及利亚,Algeria
布尔吉·布阿雷里吉,Bordj Bou Arreridj,None,None,阿尔及利亚,Algeria
布利达,Blida,None,None,阿尔及利亚,Algeria
布迈德斯,Boumerdes,None,None,阿尔及利亚,Algeria
布依拉,Bouira,None,None,阿尔及利亚,Algeria
蒂巴扎,Tipaza,None,None,阿尔及利亚,Algeria
蒂斯姆西勒特,Tissemsilt,None,None,阿尔及利亚,Algeria
盖尔达耶,Ghardaia,None,None,阿尔及利亚,Algeria
盖尔马,Guelma,None,None,阿尔及利亚,Algeria
罕西拉,Khenchela,None,None,阿尔及利亚,Algeria
赫利赞,Relizane,None,None,阿尔及利亚,Algeria
吉杰尔,Jijel,None,None,阿尔及利亚,Algeria
杰勒法,Djelfa,None,None,阿尔及利亚,Algeria
君士坦丁,Constantine,None,None,阿尔及利亚,Algeria
拉格瓦特,Laghouat,None,None,阿尔及利亚,Algeria
马斯卡拉,Mascara,None,None,阿尔及利亚,Algeria
麦迪亚,Medea,None,None,阿尔及利亚,Algeria
密拉,Mila,None,None,阿尔及利亚,Algeria
莫斯塔加纳姆,Mostaganem,None,None,阿尔及利亚,Algeria
姆西拉,Msila,None,None,阿尔及利亚,Algeria
纳阿马,Naama,None,None,阿尔及利亚,Algeria
塞蒂夫,Setif,None,None,阿尔及利亚,Algeria
赛伊达,Saida,None,None,阿尔及利亚,Algeria
斯基克达,Skikda,None,None,阿尔及利亚,Algeria
苏克·阿赫拉斯,Souk Ahras,None,None,阿尔及利亚,Algeria
塔里夫,El Tarf,None,None,阿尔及利亚,Algeria
塔曼拉塞特,Tamanghasset,None,None,阿尔及利亚,Algeria
特贝萨,Tebessa,None,None,阿尔及利亚,Algeria
特莱姆森,Tlemcen,None,None,阿尔及利亚,Algeria
